Shewanella_donghaensis	Unknown
Rhodoligotrophos_appendicifer	Unknown
Gimesia_aquarii	Unknown
Microcoleus_sp	Unknown
Mobiluncus_curtisii	Unknown
Modestobacter_marinus	Unknown
Moraxella_catarrhalis	Unknown
Nitrospira_lenta	Unknown
Candidatus_Bipolaricaulis	Unknown
Youngimonas_vesicularis	Unknown
Actinoplanes_teichomyceticus	Unknown
Marmoricola_ginsengisoli	Unknown
Marmoricola_aurantiacus	Unknown
Serpentinomonas_mccroryi	Unknown
Salisediminibacterium_halotolerans	Unknown
Sphingopyxis_solisilvae	Unknown
Candidatus_Viridilinea	Unknown
Flavobacterium_bomensis	Unknown
Desulfonema_ishimotonii	Unknown
Sutterella_megalosphaeroides	Unknown
Prosthecochloris_marina	Unknown
Chryseobacterium_carnis	Unknown
Pseudidiomarina_insulisalsae	Unknown
Paenibacillus_lentus	Unknown
Psychrobacter_faecalis	Unknown
Amycolatopsis_ruanii	Unknown
Leptospira_levettii	Unknown
Paenibacillus_humicus	Unknown
Ornithinibacillus_sp	Unknown
Tuwongella_immobilis	Unknown
Muricauda_olearia	Unknown
Halomicronema_excentricum	Unknown
Phreatobacter_stygius	Unknown
Chitinivorax_sp	Unknown
Peptoniphilus_catoniae	Unknown
Paracoccus_haeundaensis	Unknown
Pseudonocardia_saturnea	Unknown
Paenibacillus_luteus	Unknown
Sphingomonas_trueperi	Unknown
Leptotrichia_hongkongensis	Unknown
Bradyrhizobium_zhanjiangense	Unknown
Massilia_lurida	Unknown
Bradyrhizobium_huanghuaihaiense	Unknown
Marihabitans_asiaticum	Unknown
Pistricoccus_aurantiacus	Unknown
Plasticicumulans_lactativorans	Unknown
Maribacter_caenipelagi	Unknown
Alicyclobacillus_sacchari	Unknown
Jeotgalibacillus_proteolyticus	Unknown
Flavobacterium_foetidum	Unknown
Yersinia_hibernica	Unknown
Crenobacter_sp	Unknown
Micromonospora_arida	Unknown
Thiohalocapsa_marina	Unknown
Mariprofundus_sp	Unknown
Niveispirillum_sp	Unknown
Pontibacter_oryzae	Unknown
Streptomyces_triticagri	Unknown
Mycoplasma_struthionis	Unknown
Methylocapsa_sp	Unknown
bacterium_c	Unknown
Cryptosporangium_phraense	Unknown
Flavobacterium_limi	Unknown
Blastopirellula_retiformator	Unknown
